experiment;window;samples_summarized;train_acc_ten_above;train_test_hundred;f1_hundred;valid_window;invalid_window
1;200;26200;0;1;1;0;1
1;400;13100;0;1;1;0;1
1;800;6550;0;1;1;0;1
1;1310;4000;0;1;1;0;1
1;1600;3275;0;1;1;0;1
1;3275;1600;0;1;1;0;1
1;4000;1310;0;1;1;0;1
1;6550;800;0;1;1;0;1
1;13100;400;0;1;1;0;1
1;26200;200;0;0;1;0;1
2;10;9680;1;1;1;0;1
2;11;8800;1;1;1;0;1
2;16;6050;1;1;1;0;1
2;20;4840;1;1;1;0;1
2;22;4400;1;1;1;0;1
2;25;3872;1;1;1;0;1
2;32;3025;1;1;1;0;1
2;40;2420;1;1;1;0;1
2;44;2200;1;1;1;0;1
2;50;1936;1;1;1;0;1
2;55;1760;1;1;1;0;1
2;80;1210;0;1;1;0;1
2;88;1100;0;1;1;0;1
2;100;968;0;1;1;0;1
2;110;880;1;1;1;0;1
2;121;800;0;1;1;0;1
2;160;605;0;1;1;0;1
2;176;550;0;1;1;0;1
2;200;484;0;1;1;0;1
2;220;440;0;1;1;0;1
2;242;400;0;1;1;0;1
2;275;352;0;1;1;0;1
2;352;275;0;1;1;0;1
2;400;242;0;1;1;0;1
2;440;220;0;1;1;0;1
2;484;200;0;1;1;0;1
2;550;176;0;1;1;0;1
2;605;160;0;1;1;0;1
2;800;121;0;1;1;0;1
2;880;110;0;1;1;0;1
2;968;100;0;1;1;0;1
2;1100;88;0;1;1;0;1
2;1210;80;0;1;1;0;1
2;1760;55;0;0;1;0;1
2;1936;50;0;0;1;0;1
2;2200;44;0;0;1;0;1
2;2420;40;0;0;1;0;1
2;3025;32;0;0;0;1;0
2;3872;25;0;0;0;1;0
2;4400;22;0;0;0;1;0
2;4840;20;0;0;0;1;0
2;6050;16;0;0;0;1;0
2;8800;11;0;0;0;1;0
2;9680;10;0;0;0;1;0
3;12;1824;1;1;1;0;1
3;16;1368;1;1;1;0;1
3;18;1216;1;1;1;0;1
3;19;1152;1;1;1;0;1
3;24;912;1;1;1;0;1
3;32;684;1;1;1;0;1
3;36;608;1;1;1;0;1
3;38;576;1;1;1;0;1
3;48;456;1;1;1;0;1
3;57;384;1;1;1;0;1
3;64;342;1;1;1;0;1
3;72;304;0;1;1;0;1
3;76;288;0;1;1;0;1
3;96;228;0;1;1;0;1
3;114;192;0;1;1;0;1
3;128;171;0;1;1;0;1
3;144;152;0;1;1;0;1
3;152;144;0;1;1;0;1
3;171;128;0;1;1;0;1
3;192;114;0;1;1;0;1
3;228;96;0;1;1;0;1
3;288;76;0;1;1;0;1
3;304;72;0;1;1;0;1
3;342;64;0;1;1;0;1
3;384;57;0;1;1;0;1
3;456;48;0;1;1;0;1
3;576;38;0;1;1;0;1
3;608;36;0;1;1;0;1
3;684;32;0;1;1;0;1
3;912;24;0;1;1;0;1
3;1152;19;0;0;1;0;1
3;1216;18;0;0;1;0;1
3;1368;16;0;0;1;0;1
3;1824;12;0;0;0;1;0
4;10;524000;0;1;1;0;1
4;16;327500;0;1;1;0;1
4;20;262000;0;1;1;0;1
4;25;209600;0;1;1;0;1
4;32;163750;0;1;1;0;1
4;40;131000;0;1;1;0;1
4;50;104800;0;1;1;0;1
4;64;81875;0;1;1;0;1
4;80;65500;0;1;1;0;1
4;100;52400;0;1;1;0;1
4;125;41920;0;1;1;0;1
4;131;40000;0;1;1;0;1
4;160;32750;0;1;1;0;1
4;200;26200;0;1;1;0;1
4;250;20960;0;1;1;0;1
4;262;20000;0;1;1;0;1
4;320;16375;0;1;1;0;1
4;400;13100;0;1;1;0;1
4;500;10480;0;1;1;0;1
4;524;10000;0;1;1;0;1
4;625;8384;0;1;1;0;1
4;655;8000;0;1;1;0;1
4;800;6550;0;1;1;0;1
4;1000;5240;0;1;1;0;1
4;1048;5000;0;1;1;0;1
4;1250;4192;0;1;1;0;1
4;1310;4000;0;1;1;0;1
4;1600;3275;0;1;1;0;1
4;2000;2620;0;1;1;0;1
4;2096;2500;0;1;1;0;1
4;2500;2096;0;1;1;0;1
4;2620;2000;0;1;1;0;1
4;3275;1600;0;1;1;0;1
4;4000;1310;0;1;1;0;1
4;4192;1250;0;1;1;0;1
4;5000;1048;0;1;1;0;1
4;5240;1000;0;1;1;0;1
4;6550;800;0;1;1;0;1
4;8000;655;0;1;1;0;1
4;8384;625;0;1;1;0;1
4;10000;524;0;1;1;0;1
4;10480;500;0;1;1;0;1
4;13100;400;0;1;1;0;1
4;16375;320;0;1;1;0;1
4;20000;262;0;1;1;0;1
4;20960;250;0;0;1;0;1
4;26200;200;0;0;1;0;1
4;32750;160;0;0;1;0;1
4;40000;131;0;0;0;1;0
4;41920;125;0;0;0;1;0
4;52400;100;0;0;0;1;0
4;65500;80;0;0;0;1;0
4;81875;64;0;0;0;1;0
4;104800;50;0;0;0;1;0
4;131000;40;0;0;0;1;0
4;163750;32;0;0;0;1;0
4;209600;25;0;0;0;1;0
4;262000;20;0;0;0;1;0
4;327500;16;0;0;0;1;0
4;524000;10;0;0;0;1;0
