experiment;premisses;quantity;order
1;train_acc_ten_above;0;1
1;train_test_hundred;9;2
1;f1_hundred;10;3
1;valid_window;0;4
1;invalid_window;10;5
1;total;10;6
2;train_acc_ten_above;12;1
2;train_test_hundred;33;2
2;f1_hundred;37;3
2;valid_window;7;4
2;invalid_window;37;5
2;total;44;6
3;train_acc_ten_above;11;1
3;train_test_hundred;30;2
3;f1_hundred;33;3
3;valid_window;1;4
3;invalid_window;33;5
3;total;34;6
4;train_acc_ten_above;0;1
4;train_test_hundred;45;2
4;f1_hundred;48;3
4;valid_window;12;4
4;invalid_window;48;5
4;total;60;6
