experiment;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window;places
2;3025;32;99.28595129102057;99.20690770375738;98.99770554108957;99.43363588960598;99.21181093771199;0;0;0;0;1
2;3872;25;98.82305471783242;98.75667011991094;98.60467000128502;98.92233981421226;98.76049489431549;0;0;0;0;2
2;4400;22;98.44318181818183;98.3344155844156;98.33545120672612;98.34415584415584;98.33600697007252;0;0;0;0;3
2;4840;20;97.94864226682408;97.79515938606848;97.94628936528622;97.65053128689495;97.79298769494481;0;0;0;0;4
2;6050;16;96.93978748524204;96.7060212514758;96.79963997916057;96.6375442739079;96.7060889006211;0;0;0;0;5
2;8800;11;94.68871753246754;94.33766233766234;95.01975103768724;93.62662337662337;94.29756116175109;0;0;0;0;6
2;9680;10;94.11452184179457;93.83116883116884;94.7689481934815;92.82467532467533;93.7668543841334;0;0;0;0;7
3;1824;12;98.62153795391046;98.5273219930754;99.1460909775801;97.90076434104537;98.51708746653874;0;0;0;0;1
4;40000;131;99.84307291666669;99.83701388888888;99.71804020950282;99.9588888888889;99.8377586397714;0;0;0;0;1
4;41920;125;99.83220353583545;99.82797921967769;99.7037185685548;99.95520568278202;99.82874510522743;0;0;0;0;2
4;52400;100;99.76001908396945;99.75328668363021;99.5933135159471;99.91698473282442;99.75430974753569;0;0;0;0;3
4;65500;80;99.66914758269719;99.66094147582697;99.51637186349107;99.80932994062765;99.662121427064;0;0;0;0;4
4;81875;64;99.49212892281594;99.48139100932995;99.41946067046428;99.5458524173028;99.4823438049106;0;0;0;0;5
4;104800;50;99.10756599872774;99.08282972858353;99.16218125489384;99.00227947413062;99.08191029930413;0;0;0;0;6
4;131000;40;98.48452608142493;98.43863443596268;98.83519923351783;98.03078880407126;98.43003456848999;0;0;0;0;7
4;163750;32;97.48446564885496;97.40166242578455;98.39181066174756;96.37557251908397;97.36878243584844;0;0;0;0;8
4;209600;25;95.94889737065309;95.81242048346057;97.69336730285967;93.84120547073792;95.71463001461494;0;0;0;0;9
4;262000;20;94.1197094995759;93.90761238337575;96.82633491052924;90.80591603053436;93.68927282466883;0;0;0;0;10
4;327500;16;91.94094995759117;91.64254452926208;95.5085746893426;87.43796437659033;91.23677583752733;0;0;0;0;11
4;524000;10;86.37031912637828;85.79607188295165;92.97633097641983;77.62657972858354;84.45082827736051;0;0;0;0;12
