experiment;window;f1_score;places
2;3025x32;99.211810937712;1
2;3872x25;98.76049489431549;2
2;4400x22;98.33600697007252;3
2;4840x20;97.7929876949448;4
2;6050x16;96.7060889006211;5
2;8800x11;94.29756116175108;6
2;9680x10;93.7668543841334;7
3;1824x12;98.51708746653874;1
4;40000x131;99.8377586397714;1
4;41920x125;99.82874510522744;2
4;52400x100;99.75430974753569;3
4;65500x80;99.662121427064;4
4;81875x64;99.4823438049106;5
4;104800x50;99.08191029930413;6
4;131000x40;98.43003456849;7
4;163750x32;97.36878243584844;8
4;209600x25;95.71463001461494;9
4;262000x20;93.68927282466883;10
4;327500x16;91.23677583752732;11
4;524000x10;84.45082827736051;12
